date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:38	6336/6336	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/4.jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/4.jpg	(from https://appspyacesso.online/new2/)
20:17:38	4857/4857	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/0(1).jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/0(1).jpg	(from https://appspyacesso.online/new2/)
20:17:38	126499/126499	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/0.jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/0.jpg	(from https://appspyacesso.online/new2/)
20:17:38	4726/4726	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/20.jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/20.jpg	(from https://appspyacesso.online/new2/)
20:17:38	6492/6492	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/6.jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/6.jpg	(from https://appspyacesso.online/new2/)
20:17:39	3218/3218	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/4(1).jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/4(1).jpg	(from https://appspyacesso.online/new2/)
20:17:39	2967/2967	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/5.jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/5.jpg	(from https://appspyacesso.online/new2/)
20:17:39	3341/3341	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/0(2).jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/0(2).jpg	(from https://appspyacesso.online/new2/)
20:17:39	5610/5610	---M--	200	added ('OK')	image/jpeg	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/images/12.jpg	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/images/12.jpg	(from https://appspyacesso.online/new2/)
20:17:40	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/new2/politica-de-privacidade/index.html	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/politica-de-privacidade/index.html	(from https://appspyacesso.online/new2/)
20:17:40	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/new2/termos/index.html	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/termos/index.html	(from https://appspyacesso.online/new2/)
20:17:40	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/new2/js/jquery-3.5.1.min.js	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/js/jquery-3.5.1.min.js	(from https://appspyacesso.online/new2/)
20:17:40	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/new2/js/jquery.inputmask.min.js	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/js/jquery.inputmask.min.js	(from https://appspyacesso.online/new2/)
20:17:40	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/new2/js/popper.min.js	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/js/popper.min.js	(from https://appspyacesso.online/new2/)
20:17:41	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/new2/js/bootstrap.min.js	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/js/bootstrap.min.js	(from https://appspyacesso.online/new2/)
20:17:41	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/code.jquery.com/jquery-latest.min.js	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/code.jquery.com/jquery-latest.min.js	(from https://appspyacesso.online/new2/)
20:17:41	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/new2/js/jquery.mask.min.js	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/js/jquery.mask.min.js	(from https://appspyacesso.online/new2/)
20:17:41	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/new2/js/scripts.js	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/js/scripts.js	(from https://appspyacesso.online/new2/)
20:17:42	51419/51419	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/js/moment.min.js	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/js/moment.min.js	(from https://appspyacesso.online/new2/)
20:17:42	2144/2144	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/js/pt-br.js	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/js/pt-br.js	(from https://appspyacesso.online/new2/)
20:17:42	2361/2361	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2021:52:58%20GMT	https://appspyacesso.online/cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.16.0/jquery.validate.min.js	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.16.0/jquery.validate.min.js	(from https://appspyacesso.online/new2/)
20:17:43	43120/43120	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/fonts/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/fonts/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2	(from https://appspyacesso.online/new2/css/estilo.css)
20:17:43	11028/11028	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/fonts/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/fonts/KFOmCnqEu92Fr1Mu4mxKKTU1Kg.woff2	(from https://appspyacesso.online/new2/css/estilo.css)
20:17:43	11040/11040	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Jul%202024%2000:27:08%20GMT	https://appspyacesso.online/new2/fonts/KFOlCnqEu92Fr1MmWUlfBBc4AMP6lQ.woff2	C:/Meus%20Sites/MeuSiteClonado/appspyacesso.online/new2/fonts/KFOlCnqEu92Fr1MmWUlfBBc4AMP6lQ.woff2	(from https://appspyacesso.online/new2/css/estilo.css)
